date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:25	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684618	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page6590.css	(from http://www.mauritiusjobs.mu/read_news/VFdwck1BPT0%3D)
18:22:27	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684618	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu6590.css	(from http://www.mauritiusjobs.mu/read_news/VFdwck1BPT0%3D)
18:22:27	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684619	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/pagee627.css	(from http://www.mauritiusjobs.mu/read_news/VFdwcmVRPT0%3D)
18:22:28	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684619	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menue627.css	(from http://www.mauritiusjobs.mu/read_news/VFdwcmVRPT0%3D)
18:22:28	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684620	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/pagef783.css	(from http://www.mauritiusjobs.mu/read_news/VFdwbk5RPT0%3D)
18:22:28	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684620	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menuf783.css	(from http://www.mauritiusjobs.mu/read_news/VFdwbk5RPT0%3D)
18:22:29	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684621	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page2cd5.css	(from http://www.mauritiusjobs.mu/read_news/VFdwbk13PT0%3D)
18:22:29	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684621	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu2cd5.css	(from http://www.mauritiusjobs.mu/read_news/VFdwbk13PT0%3D)
18:22:30	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684622	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/pageebf6.css	(from http://www.mauritiusjobs.mu/read_news/VFdwbk1RPT0%3D)
18:22:30	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684622	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menuebf6.css	(from http://www.mauritiusjobs.mu/read_news/VFdwbk1RPT0%3D)
18:22:31	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684623	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page67a7.css	(from http://www.mauritiusjobs.mu/read_news/VFdwbmVnPT0%3D)
18:22:31	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684623	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu67a7.css	(from http://www.mauritiusjobs.mu/read_news/VFdwbmVnPT0%3D)
18:22:32	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684624	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page6f19.css	(from http://www.mauritiusjobs.mu/read_news/VFdwbmVBPT0%3D)
